"study_id","first_author","pub_year","country","study_design","single_or_multicenter","enrollment_start_year","enrollment_end_year","follow_up_median_months","primary_for_cohort","cohort_id","total_n","n_arms","comparisons"
384,"Vydra",2026,"multinational","retrospective cohort","registry","2010","2022","18.6","partial","1024",432,2,"C2"
386,"Wadhera S",2026,"India","single arm descriptive excluded","single","2017","2023","44","Y","1151",NA,NA,NA
456,"Wang L",2021,"China","prospective cohort","single","2013","2018","18","Y","1178",79,2,"none"
389,"Wang T",2022,"China","retrospective cohort","single","2014","2020","11.8","Y","1152",81,2,"C1"
455,"Wang Y",2017,"China","prospective cohort","single","2015","2016","10","N","1153",206,3,"C3"
390,"Wang Y",2019,"China","prospective cohort","multi","2015","2018","24","Y","1153",239,2,"C1"
457,"Wang Y",2025,"China","retrospective cohort","single","2015","2021","24.9","Y","1179",154,3,"C1/C2"
391,"Wieduwilt",2022,"USA_multinational","registry","registry","2013","2017","30","Y","1092",4201,5,"C1"
395,"Wu L",2025,"China","retrospective cohort","single","2012","2023","28.5","Y","1154",297,2,"C1"
401,"Wu L",2025,"China","retrospective cohort","single","2012","2023","NR","Y","1158",297,2,"C1"
460,"Xu X",2021,"China","retrospective cohort","single","2014","2018","NR","partial","1068",67,2,"C3"
396,"Xu ZL",2025,"China","retrospective cohort","registry","2020","2022","33","Y","1155",701,4,"C1"
397,"Xu ZL",2025,"China","RCT","single","2023","2024","8.7","Y","1156",66,2,"C3"
461,"Xue E",2022,"Italy","retrospective cohort","single","2015","2021","NR","partial","1036",63,2,"C3"
399,"Yanada M",2026,"Japan","registry","registry","2017","2021","37.2","Y","1157",1089,2,"C1"
408,"Yildirim M",2024,"Turkey","retrospective cohort","multi","2016","2022","NR","Y","1138",79,2,"none"
405,"Yong KY",2025,"Australia","single arm descriptive excluded","single","2015","2019","12","Y","1159",NA,NA,NA
407,"Yoshimitsu M",2025,"Japan","registry","registry","2016","2021","23.7","Y","1160",700,4,"C1"
462,"Zhang W",2023,"China","RCT","multi","2018","2022","19.1","Y","1180",122,2,"C3"
464,"Zu Y",2022,"China","RCT","multi","2018","2021","18.5","Y","1181",104,2,"none"
465,"Zu Y",2023,"China","RCT","multi","2019","2022","14.4","Y","1182",160,2,"C2"
